Lineales,Interacciones,MAE
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.876901948558901
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8769019485589012
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8769019485589012
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8769434748738655
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8769434748738658
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8769434748738658
"['edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8769434748738658
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8769847432544785
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8769847432544785
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8769847432544786
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8769847432544786
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8770185907447716
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8770185907447716
